economy,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3327370304114,60.1204668088844,61.2560043844096,60.7541704101782,73.1013252499359,62.1869362383961,55.989556615586,58.2744756657506,52.8394319098677,49.8022321913836,50.0719114183969,45.7184119969031,46.152393477237,49.5683697098445,44.8798901687648,42.8265406335218,38.8841565463432,38.7856901033422,40.2765983873899,42.6033349980631,44.8945606568078,46.9123853980322,48.3998644778265,49.2015630214006,47.2184853070945,41.9566831307241,42.3336875987152,48.9863308847905,53.0802129926047,54.7633527667858,39.7238206244142,43.7634488327132,50.9928446789957,58.8615049918137
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.765625,109.541984732824,111.984282907662,123.6,129.411764705882,120.656370656371,135.357142857143,82.8148148148148,94.4153577661431,98.7719298245614,100.9375,102.037617554859,108.087091757387,98.8112927191679,95.230998509687,102.287581699346,103.599374021909,94.8995363214838,95.1456310679612,92.5333333333333,77.7267508610792,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0294721234326,59.3558890657764,61.9981253900258,63.4013124953134,68.1846045477951,68.4165333963013,52.4347951642755,54.1394040738351,62.9404229329272,
AUS,14.0371997833022,14.9994309775805,12.6096244659321,13.8103161397671,13.7405298574185,15.2416677445781,15.105405627102,13.8699827085096,14.4612961758362,13.3117577015846,13.1987535564287,12.9148915089666,11.9536669135969,11.0016057808109,13.1937311553626,14.7119500385938,13.3620482795028,14.6305208777273,14.5709988768109,15.3354498067385,15.8863994294714,16.7165491802203,16.8062687297065,15.6024961459675,14.9836676244583,17.2670332703454,18.0367773616441,17.0537762831191,16.6126468087204,16.9476613943385,17.0382633835357,16.1612343223675,16.3866648081253,17.8602542428206,18.4869195111131,19.8333756851926,19.3429104541098,18.8533498603289,20.4351367863689,20.7350512297224,21.5449829026037,22.0663780990158,20.7224309468224,21.1443541839952,19.8471453750713,20.9363741866049,21.7059079518,21.8245161029657,22.6978990852209,22.7298779728897,20.715266475056,20.4015645849472,21.6576317984718,21.2760781686499,21.3606968828433,21.5361539403705,21.5324159581804,20.7136840406098,21.4935202935385,21.6371749941796,20.1756728566692,17.7255408465983,19.7096203060062,21.3606910435151
AUT,,,,,,,,,,,27.4686344277026,27.345116584754,27.3653532253531,27.5374528314848,30.4533625711267,28.5044981022599,31.1637556365578,32.3236395835347,30.5528948869436,32.4364440392413,35.1319340743747,35.3958880212345,32.3756172676103,31.9939859862433,33.8239884504452,35.1618404815936,32.0168828672025,31.447517667927,33.4916238053734,35.5231562390335,35.7909550811009,35.457917424929,34.4748999341367,31.8011526870735,33.8285594524044,34.7234607571822,35.8343950133252,37.8396074770871,38.5761282051164,38.9031024586734,42.0142216659345,42.9191092459869,41.6287818010806,41.8169676971425,43.9251307189084,45.4140534786122,47.2466423435202,48.172384639555,48.8248221152974,41.8548144134358,47.7576359096203,51.154117778086,51.1785012313079,50.625120789651,50.1169562048263,49.3382548303838,48.5756846289351,50.8876917912507,52.4614203877556,52.1317298002285,48.123348236909,55.0331207505886,61.6022637210822,56.6419812190619
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2223738062756,41.2050898203593,54.5963776685131,76.028025477707,30.6282092340539,53.4070672040491,55.9211007831369,53.0443593072222,54.5282799511713,41.8558448782814,38.3777368008308,37.3165776205885,50.0503092783505,65.5453718603512,72.718107430072,52.9007785985227,38.758255006348,28.5128964581019,23.4667590165732,23.1082959987641,20.6812669257035,24.0810644752506,25.2883893489114,26.2600116874635,26.2096685368412,34.806730415594,43.6496693432541,41.8544509495606,37.5802826749238,36.7675179068137,36.3943117827554,29.7981185195358,26.9954251873703,34.5739824641988
BDI,13.3928578261662,14.6551729913369,16.3934421622452,14.2857144084702,12.0805373091302,12.534289462699,12.9921803763367,11.8857765527851,13.3668122270742,12.0945742954996,11.6210197230579,14.1716801439181,15.0749696694666,13.3327311322885,15.5339377333162,19.0017705948535,16.6528767491649,17.2914189235808,20.2264008026176,22.7221415213696,23.2920650338144,22.037695696343,26.9074459918851,24.7477597409048,23.5523097883576,20.7869023928065,22.31563049832,25.7386317272753,25.9531832539286,22.9435654028731,27.7751472575537,28.5051827766189,29.4769508903169,27.1610357564277,28.4817585329216,27.278283560511,15.7534012542759,14.4399066511085,19.44027986007,15.9639877031181,16.234753894772,15.784843450019,16.988025225784,20.9948980541304,24.6233698947461,28.8999986757642,35.1,31.9999986368881,36.6999993197774,29.2000032854075,29.800003758426,34.2000025536135,34.0092778720909,37.5088230179325,34.2990046114706,16.4210098504297,16.6592030672841,16.2137187724929,20.9140481504705,23.8541700005272,22.2240099992609,23.8183699996008,23.3442218510957,24.3298626640039
BEL,,,,,,,,,,,42.7710254837046,41.8166176737447,41.0771607398334,46.1121501660273,52.3777195459097,45.6077121111552,48.2613755680507,48.1702725216395,46.5509597585309,51.6505320431123,52.9381673001875,56.157830087916,59.8220377400948,59.999935931094,63.8183833473908,61.4226586727942,55.0439747012999,54.0513368574141,57.0148633493866,61.3701837443597,59.8541601189252,58.3604828351158,56.2603571698966,52.9049958392791,54.8073406881894,56.2641961032662,58.0203848015116,60.902358975732,60.5347776108893,60.6069310248626,69.6827399089776,67.964880914325,65.2538517924041,63.679044325004,66.0121279012141,70.2462217485879,72.7625122442923,74.1666421724765,80.2078278152436,66.5720368236699,74.14760859514,80.7963607521708,80.3415397228249,78.5264966401955,78.9822068454526,76.3872643576431,78.2354105104266,82.1434260996683,83.4151576304182,81.7690330122952,76.6671689807858,86.1375952345899,97.3309032237925,87.6137957502571
BEN,12.1102860037387,9.53463213652839,9.95930446110375,11.6258988070834,12.2431651526909,14.9057105712226,16.1960629695616,19.7722662705327,19.0765867798385,21.4285057250714,24.4613236152013,27.8326141260428,26.800149392693,25.9501669628164,29.4946483665807,33.4129820337852,31.0285113990042,34.7807829045215,34.5453644374484,37.0217886787244,37.3221067200717,43.9588716369158,40.0862995442378,31.577722696885,30.9319281707312,36.6485996242477,32.6154967527009,30.9506070946336,32.0830888173539,24.8049383776371,26.5388791344867,30.3422307728013,33.5015977552095,32.917416096905,36.0734606362612,36.4311975077222,30.0189798910533,31.5354950169417,32.5006857471368,31.3822583591138,26.742848952329,28.3885918276674,24.0418117580991,22.9719333073503,21.389426770597,20.6122912074473,21.7167729998912,27.0709310375342,25.6346390032369,24.7746622235924,28.3588118822374,26.3673773087186,26.8399999121001,31.6296265138756,33.8374338168225,32.0358619739087,31.3801402666294,34.2710021769642,34.5209638714363,34.0508051206822,24.9607629492202,27.1360546569676,29.2803105204475,30.1570110221303
BFA,15.839404612418,15.7899764009717,15.7059646946391,15.6690091988758,11.5184394568252,11.3766205814937,11.6484883364785,13.9273070528145,15.2873906772355,16.5323946242926,16.1417701889841,19.9310890976094,21.2889996660341,22.9195387310593,24.4729157208656,30.1511163590201,27.0082432329274,30.4432668926016,27.7508292684115,29.2824436783172,31.2625076586155,31.4351136452015,31.6240353150483,29.5741478477064,28.7577920382322,31.0260822887558,28.9711662892219,28.0811295265822,27.1309820899936,23.6458973519231,24.4559590282232,23.3486879839288,19.5275360085764,20.6735406720758,25.0276010932215,26.6069148783492,27.6166925636234,26.6038877818834,28.1316805532505,26.9008102757514,26.2782244851586,22.6140880474318,22.4471572206048,21.1478047493266,24.5993563004511,24.3303222900142,24.1496788527529,23.4311750727081,25.2359899277654,26.507012812169,28.5573896844031,31.3017525842237,34.6405225638741,36.9588658493908,31.8915583395886,32.9815357744638,31.9772079951896,32.8163945669667,32.5167194817269,31.1509972213594,28.9629129522965,29.7052524548311,33.0990299075644,35.9600309719785
