economy,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16285334760.9322,17722750388.0471,18425080624.1555,19667081616.7811,21024526972.4465,22469554058.2962,23878833796.5956,25494019473.699,27077132708.6097,27577524724.436,28909467542.1706,30058157186.5149,31283984731.6116,32766590619.2835,35051931465.8382,37749359760.5543,40780171854.835,43796805025.9558,47385371260.2726,49278173099.0739,51935331423.4878,55765337777.5774,61696072906.0143,70394877007.2335,76454300115.4351,78777661969.4082,84385715066.6074,96545462750.1116,103029675562.864,107078496355.74,98004280065.3528,112858166789.685,125160365230.695,132892186347.721
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997458383690.948,1041834385789.31,1059778771291.46,1138326881879.54,1230679787753.98,1309554571189.22,1362985284392.14,1433558431102.09,1454571004358.18,1482057413842.34,1582133937142.26,1640243857235.29,1716595685871.23,1770456746653.52,1922785831282.21,2046574552628.89,2193273153845.76,2389430239855.4,2559535104844.25,2572081759819.24,2799325235403.79,2970630762099.6,2992140131710.98,3120542014445.91,3166808963772.23,2989121457827.16,2907889886097.55,2980287463599.86,3187189640258.87,3333775621737.55,3359777233099.99,3787769507879.98,4176778228978.4,4454930345429.17
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499627199.56915,2483380048.12684,2395384190.78392,2471609893.84967,2575143533.16429,2682087023.06244,2839794857.68354,3025696089.87548,3173780720.34398,3229464361.85727,3449491719.26535,3443729783.99535,3524782524.40205,3672567713.6547,3824562267.02378,4100501900.27943,4483553897.30096,4700771898.8619,4821693413.55755,4608022922.69482,4560589073.16421,4618726457.3986,4356247244.06928,4376632640.18616,4339000375.94139,4451260151.13376,4580665172.60741,4544954000.425,4743577770.72244,4891705000.86909,4122568135.22455,4148367483.66144,5039066721.43765,5458624997.04146
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14451434678.9759,15410163448.7825,16511354669.2102,16954208532.4407,17860878285.4695,19052073906.611,19959291280.4698,20004779861.1943,20116622561.4104,21023972014.7773,22112837584.4703,23231198263.0921,24505723085.2721,25715228387.378,26539907382.5881,27478122800.72,29571179475.3098,30419289276.9781,30403964766.3926,30051692834.1932,31207432050.364,33044207206.1251,35387298721.4887,34227609587.5311,33850757981.5541,26475985797.9874,24234547470.1568,26683752499.7116,28522869251.1403,30701487040.9233,31223413923.1335,35346624887.2816,37219304326.4493,39118736084.2569
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947589698.127243,975639700.056552,1043784163.8586,1089750067.84854,1168129540.52833,1276989027.84235,1372735402.20322,1471448195.01082,1575985204.47667,1725893721.45615,1824205155.3153,2001975345.70763,2245416948.69042,2468041202.32274,2665114983.99777,2939301268.32012,3200857790.58215,3817034513.67183,4066799408.04772,4405627433.27734,4991230791.6029,5517413987.09563,6047463713.47623,6187128410.41547,6731464261.37298,7450798296.64567,8306544992.03272,8808682650.51136,9093982081.07693,9873189666.76767,9605860673.56367,10436528020.4014,11753826959.5409,
BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7805475853.15874,8671318558.70688,9127638053.78328,9523033629.08965,10079233815.0348,11014032812.5203,11869525175.8165,13079494422.904,13285171486.1047,14775653442.6214,15410698645.682,15797184483.8197,17016386810.666,18155045000.2067,19147703171.6407,20647920308.5449,23064890692.2361,25062021816.527,26375632818.7536,22784671433.0925,25395910903.491,27692393434.6991,26304559562.5436,28559217475.9872,32587870647.0545,31162419272.1222,36266220081.5912,35589435395.4775,36293825138.6309,37220081094.0541,36179967540.1178,43133140608.7628,48703064009.7341,51856809570.5722
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781707623.64456,1831783983.98229,1753170790.11289,1800743914.78099,1929312915.06378,2111588545.17115,2064234890.55149,2211121275.35411,2341065142.28566,2459663881.61141,2452761381.78094,2619965169.11054,2756903876.95062,2659592507.36908,2894838239.14127,3012720151.31823,3253799664.25001,3495935180.48354,3636486380.80773,3973116132.6426,4207624657.22149,4474567487.04114,4897034572.03065,3295437288.55,3231436576.44185,3559349379.23233,3893548336.23769,4236556479.54651,4419174296.74199,4869757044.86639,5359843442.72162,5769272621.61696,6206496349.6843,6488703710.70721
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560184961451.598,567048053070.888,585191423921.596,615002687930.82,656367194071.933,688183583810.054,712130924872.247,755390170461.408,793674327704.288,846412945809.995,900996986801.064,937786776176.929,971003788233.131,1023682523002.92,1083609294356.44,1171326187910.13,1241594039979.59,1301593351698.17,1342395839240.43,1307000908301.48,1363577286343.32,1430806739876.64,1468097961846.59,1554125000000.0,1621395561291.92,1594851775821.65,1678092366067.55,1765762548007.77,1852985933143.48,1899695367283.6,1847837502049.2,2133084584492.55,2415839858207.44,2469314350968.61
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832546733590.686,769335147843.392,750786399386.434,771259858652.603,816840626132.935,877844989086.741,920763125971.773,952479146265.788,993748213006.902,1024789400230.69,1086212599033.19,1162903613912.04,1249275763005.3,1315851210361.2,1433758584758.52,1517732331413.56,1684086335196.18,1872113087520.81,2065986359864.91,2064788619899.27,2174317371923.29,2324242014095.37,2401886260748.65,2474946029077.76,2580227702277.28,2699035497233.81,2859067108801.37,3065350866551.73,3283321313125.93,3633308852303.19,3663193085280.88,4046609678794.73,4521232973998.44,4833673325243.23
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191005018296.087,195655861759.977,200027191466.873,204510564935.933,211529959212.077,217004091175.056,222747306457.878,232005796537.153,240727947879.243,248201049346.696,263627541287.892,273454243730.002,281956062254.352,284293141607.109,296889791565.933,308825076428.302,346323158154.133,384574558162.247,411512093039.143,410201362487.713,425928053025.405,454912095759.708,475340741851.246,498760487993.313,519299911605.986,540550953723.454,563950610001.631,576360597477.87,601867859451.371,632274562999.588,630567393919.535,710318871754.097,796369094824.207,822862795503.963
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59203042078.1421,66075690480.2552,76266169098.8247,84364774168.2908,91998297195.4012,104524492338.023,116331728719.055,127084973049.645,133888459732.619,135403718285.286,145355726570.836,153318300830.111,160694762437.438,171606243155.843,187973652898.553,205184272360.574,256070327751.867,278373990855.263,275754675659.093,271327840688.241,307855669991.931,349147748327.253,374316599644.856,392670388751.635,402902197383.282,405499679723.235,424831691034.163,450891850924.637,478093905184.167,491687970151.703,491062045094.545,566278570129.927,619206194253.432,653360984982.927
